miscarriages_gestational_age_days10,birth_history,,text,Gestational age of 10th miscarriage in days (partial week),,,,,,,[miscarriages_no]>=10
still_births_no,birth_history,,text,Number of still births,,,integer,0,10,,[prior_pregnancy_history(2)] = '1'
still_births_gestational_age_weeks1,birth_history,,text,Gestational age of 1st still birth in full weeks,,Specify partial week in days below,,,,,[still_births_no]>=1
still_births_gestational_age_days1,birth_history,,text,Gestational age of 1st still birth in days (partial week),,,,,,,[still_births_no]>=1
still_births_gestational_age_weeks2,birth_history,,text,Gestational age of 2nd still birth in full weeks,,Specify partial week in days below,,,,,[still_births_no]>=2
still_births_gestational_age_days2,birth_history,,text,Gestational age of 2nd still birth in days (partial week),,,,,,,[still_births_no]>=2
still_births_gestational_age_weeks3,birth_history,,text,Gestational age of 3rd still birth in full weeks,,Specify partial week in days below,,,,,[still_births_no]>=3
still_births_gestational_age_days3,birth_history,,text,Gestational age of 3rd still birth in days (partial week),,,,,,,[still_births_no]>=3
still_births_gestational_age_weeks4,birth_history,,text,Gestational age of 4th still birth in full weeks,,Specify partial week in days below,,,,,[still_births_no]>=4
still_births_gestational_age_days4,birth_history,,text,Gestational age of 4th still birth in days (partial week),,,,,,,[still_births_no]>=4
still_births_gestational_age_weeks5,birth_history,,text,Gestational age of 5th still birth in full weeks,,Specify partial week in days below,,,,,[still_births_no]>=5
still_births_gestational_age_days5,birth_history,,text,Gestational age of 5th still birth in days (partial week),,,,,,,[still_births_no]>=5
still_births_gestational_age_weeks6,birth_history,,text,Gestational age of 6th still birth in full weeks,,Specify partial week in days below,,,,,[still_births_no]>=6
still_births_gestational_age_days6,birth_history,,text,Gestational age of 6th still birth in days (partial week),,,,,,,[still_births_no]>=6
still_births_gestational_age_weeks7,birth_history,,text,Gestational age of 7th still birth in full weeks,,Specify partial week in days below,,,,,[still_births_no]>=7
still_births_gestational_age_days7,birth_history,,text,Gestational age of 7th still birth in days (partial week),,,,,,,[still_births_no]>=7
still_births_gestational_age_weeks8,birth_history,,text,Gestational age of 8th still birth in full weeks,,Specify partial week in days below,,,,,[still_births_no]>=8
still_births_gestational_age_days8,birth_history,,text,Gestational age of 8th still birth in days (partial week),,,,,,,[still_births_no]>=8
still_births_gestational_age_weeks9,birth_history,,text,Gestational age of 9th still birth in full weeks,,Specify partial week in days below,,,,,[still_births_no]>=9
still_births_gestational_age_days9,birth_history,,text,Gestational age of 9th still birth in days (partial week),,,,,,,[still_births_no]>=9
still_births_gestational_age_weeks10,birth_history,,text,Gestational age of 10th still birth in full weeks,,Specify partial week in days below,,,,,[still_births_no]>=10
still_births_gestational_age_days10,birth_history,,text,Gestational age of 10th still birth in days (partial week),,,,,,,[still_births_no]>=10
terminations_no,birth_history,,text,Number of terminations,,,integer,0,10,,[prior_pregnancy_history(3)] = '1'
terminations_gestational_age_weeks1,birth_history,,text,Gestational age of 1st termination in full weeks,,Specify partial week in days below,,,,,[terminations_no]>=1
terminations_gestational_age_days1,birth_history,,text,Gestational age of 1st termination in days (partial week),,,,,,,[terminations_no]>=1
terminations_gestational_age_weeks2,birth_history,,text,Gestational age of 2nd termination in full weeks,,Specify partial week in days below,,,,,[terminations_no]>=2
terminations_gestational_age_days2,birth_history,,text,Gestational age of 2nd termination in days (partial week),,,,,,,[terminations_no]>=2
terminations_gestational_age_weeks3,birth_history,,text,Gestational age of 3rd termination in full weeks,,Specify partial week in days below,,,,,[terminations_no]>=3
terminations_gestational_age_days3,birth_history,,text,Gestational age of 3rd termination in days (partial week),,,,,,,[terminations_no]>=3
terminations_gestational_age_weeks4,birth_history,,text,Gestational age of 4th termination in full weeks,,Specify partial week in days below,,,,,[terminations_no]>=4
terminations_gestational_age_days4,birth_history,,text,Gestational age of 4th termination in days (partial week),,,,,,,[terminations_no]>=4
terminations_gestational_age_weeks5,birth_history,,text,Gestational age of 5th termination in full weeks,,Specify partial week in days below,,,,,[terminations_no]>=5
terminations_gestational_age_days5,birth_history,,text,Gestational age of 5th termination in days (partial week),,,,,,,[terminations_no]>=5
terminations_gestational_age_weeks6,birth_history,,text,Gestational age of 6th termination in full weeks,,Specify partial week in days below,,,,,[terminations_no]>=6
terminations_gestational_age_days6,birth_history,,text,Gestational age of 6th termination in days (partial week),,,,,,,[terminations_no]>=6
terminations_gestational_age_weeks7,birth_history,,text,Gestational age of 7th termination in full weeks,,Specify partial week in days below,,,,,[terminations_no]>=7
terminations_gestational_age_days7,birth_history,,text,Gestational age of 7th termination in days (partial week),,,,,,,[terminations_no]>=7
terminations_gestational_age_weeks8,birth_history,,text,Gestational age of 8th termination in full weeks,,Specify partial week in days below,,,,,[terminations_no]>=8
terminations_gestational_age_days8,birth_history,,text,Gestational age of 8th termination in days (partial week),,,,,,,[terminations_no]>=8
terminations_gestational_age_weeks9,birth_history,,text,Gestational age of 9th termination in full weeks,,Specify partial week in days below,,,,,[terminations_no]>=9
terminations_gestational_age_days9,birth_history,,text,Gestational age of 9th termination in days (partial week),,,,,,,[terminations_no]>=9
terminations_gestational_age_weeks10,birth_history,,text,Gestational age of 10th termination in full weeks,,Specify partial week in days below,,,,,[terminations_no]>=10
terminations_gestational_age_days10,birth_history,,text,Gestational age of 10th termination in days (partial week),,,,,,,[terminations_no]>=10
multiples_no,birth_history,,text,Number of multiple births,,,integer,0,5,,[prior_pregnancy_history(4)] = '1'
multiple1_number,birth_history,,text,Number of children in 1st multiple birth,,,,,,,[multiples_no]>=1
multiple1_gestational_age_weeks,birth_history,,text,Gestation age of 1st multiple birth in full weeks,,Specify partial week in days below,,,,,[multiples_no]>=1
multiple1_gestational_age_days,birth_history,,text,Gestation age of 1st multiple birth in days (partial week),,,,,,,[multiples_no]>=1
multiple2_number,birth_history,,text,Number of children in 2nd multiple birth,,,,,,,[multiples_no]>=2
multiple2_gestational_age_weeks,birth_history,,text,Gestation age of 2nd multiple birth in full weeks,,Specify partial week in days below,,,,,[multiples_no]>=2
multiple2_gestational_age_days,birth_history,,text,Gestation age of 2nd multiple birth in days (partial week),,,,,,,[multiples_no]>=2
multiple3_number,birth_history,,text,Number of children in 3rd multiple birth,,,,,,,[multiples_no]>=3
multiple3_gestational_age_weeks,birth_history,,text,Gestation age of 3rd multiple birth in full weeks,,Specify partial week in days below,,,,,[multiples_no]>=3
multiple3_gestational_age_days,birth_history,,text,Gestation age of 3rd multiple birth in days (partial week),,,,,,,[multiples_no]>=3
multiple4_number,birth_history,,text,Number of children in 4th multiple birth,,,,,,,[multiples_no]>=4
multiple4_gestational_age_weeks,birth_history,,text,Gestation age of 4th multiple birth in full weeks,,Specify partial week in days below,,,,,[multiples_no]>=4
multiple4_gestational_age_days,birth_history,,text,Gestation age of 4th multiple birth in days (partial week),,,,,,,[multiples_no]>=4
multiple5_number,birth_history,,text,Number of children in 5th multiple birth,,,,,,,[multiples_no]>=5
multiple5_gestational_age_weeks,birth_history,,text,Gestation age of 5th multiple birth in full weeks,,Specify partial week in days below,,,,,[multiples_no]>=5
multiple5_gestational_age_days,birth_history,,text,Gestation age of 5th multiple birth in days (partial week),,,,,,,[multiples_no]>=5
pregnancy_complications,birth_history,,checkbox,Pregnancy complications,"10, None | 1, Bleeding | 2, Eclampsia | 3, Pre-eclampsia | 4, Gestational diabetes | 5, Maternal seizures | 6, Maternal hypertension | 7, Polyhydramnios | 8, Oligohydramnios | 9, Preterm labor  | 11, Unknown/Not documented | 12, Other",,,,,,
pregnancy_complications_other_dtls,birth_history,,text,Please specify other Pregnancy complications,,,,,,,[pregnancy_complications(12)]='1'
pn_exposure_med,birth_history,,radio,Medications during pregnancy,"1, Yes | 2, No | 3, Unknown/Not documented",,,,,,
prenatal_medications_group_no,birth_history,,text,How many prenatal medications would you like to enter (up to 5)?,,,,,,,[pn_exposure_med] = '1'
pn_med1,birth_history,,text,Specify 1st prenatal medication,,,,,,,([pn_exposure_med] = '1') and [prenatal_medications_group_no]>=1
pn_med2,birth_history,,text,Specify 2nd prenatal medication,,,,,,,([pn_exposure_med] = '1') and [prenatal_medications_group_no]>=2
pn_med3,birth_history,,text,Specify 3rd prenatal medication,,,,,,,([pn_exposure_med] = '1') and [prenatal_medications_group_no]>=3
pn_med4,birth_history,,text,Specify 4th prenatal medication,,,,,,,([pn_exposure_med] = '1') and [prenatal_medications_group_no]>=4
pn_med5,birth_history,,text,Specify 5th prenatal medication,,,,,,,([pn_exposure_med] = '1') and [prenatal_medications_group_no]>=5
ultrasound_no,birth_history,,text,How many ultrasound tests do you want to enter?,,,integer,0,10,,
ultrasound1_weeks_gestation_drop,birth_history,,dropdown,1st ultrasound performed at (weeks gestation),"39, Unknown | 1, 4 weeks + 1 day to 5 weeks | 2,  5 weeks + 1 day to 6 weeks | 3, 6 weeks + 1 day to 7 weeks | 4, 7 weeks + 1 day to 8 weeks | 5, 8 weeks + 1 day to 9 weeks | 6, 9 weeks + 1 day to 10 weeks | 7, 10 weeks + 1 day to 11 weeks | 8, 11 weeks + 1 day to 12 weeks | 9, 12 weeks + 1 day to 13 weeks | 10, 13 weeks + 1 day to 14 weeks | 11, 14 weeks + 1 day to 15 weeks | 12, 15 weeks + 1 day to 16 weeks | 13, 16 weeks + 1 day to 17 weeks | 14, 17 weeks + 1 day to 18 weeks | 15, 18 weeks + 1 day to 19 weeks | 16, 19 weeks + 1 day to 20 weeks | 17, 20 weeks + 1 day to 21 weeks | 18, 21 weeks + 1 day to 22 weeks | 19, 22 weeks + 1 day to 23 weeks | 20, 23 weeks + 1 day to 24 weeks | 21, 24 weeks + 1 day to 25 weeks | 22, 25 weeks + 1 day to 26 weeks | 23, 26 weeks + 1 day to 27 weeks | 24, 27 weeks + 1 day to 28 weeks | 25, 28 weeks + 1 day to 29 weeks | 26, 29 weeks + 1 day to 30 weeks | 27, 30 weeks + 1 day to 31 weeks | 28, 31 weeks + 1 day to 32 weeks | 29, 32 weeks + 1 day to 33 weeks | 30, 33 weeks + 1 day to 34 weeks | 31, 34 weeks + 1 day to 25 weeks | 32, 35 weeks + 1 day to 36 weeks | 33, 36 weeks + 1 day to 37 weeks | 34, 37 weeks + 1 day to 38 weeks | 35, 38 weeks + 1 day to 39 weeks | 36, 39 weeks + 1 day to 40 weeks | 37, 40 weeks + 1 day to 41 weeks | 38, 41 weeks + 1 day to 42 weeks",,,,,,[ultrasound_no]>=1
ultrasound1_normal_bool,birth_history,,radio,1st ultrasound within normal limits,"1, Yes | 2, No | 3, Not determined | 4, Unknown/Not documented",,,,,,[ultrasound_no]>=1
ultrasound1_spec,birth_history,,notes,1st ultrasound significant for,,,,,,,([ultrasound1_normal_bool] ='2'  or  [ultrasound1_normal_bool] ='3') and [ultrasound_no]>=1
ultrasound2_weeks_gestation_drop,birth_history,,dropdown,2nd ultrasound performed at (weeks gestation),"39, Unknown | 1, 4 weeks + 1 day to 5 weeks | 2,  5 weeks + 1 day to 6 weeks | 3, 6 weeks + 1 day to 7 weeks | 4, 7 weeks + 1 day to 8 weeks | 5, 8 weeks + 1 day to 9 weeks | 6, 9 weeks + 1 day to 10 weeks | 7, 10 weeks + 1 day to 11 weeks | 8, 11 weeks + 1 day to 12 weeks | 9, 12 weeks + 1 day to 13 weeks | 10, 13 weeks + 1 day to 14 weeks | 11, 14 weeks + 1 day to 15 weeks | 12, 15 weeks + 1 day to 16 weeks | 13, 16 weeks + 1 day to 17 weeks | 14, 17 weeks + 1 day to 18 weeks | 15, 18 weeks + 1 day to 19 weeks | 16, 19 weeks + 1 day to 20 weeks | 17, 20 weeks + 1 day to 21 weeks | 18, 21 weeks + 1 day to 22 weeks | 19, 22 weeks + 1 day to 23 weeks | 20, 23 weeks + 1 day to 24 weeks | 21, 24 weeks + 1 day to 25 weeks | 22, 25 weeks + 1 day to 26 weeks | 23, 26 weeks + 1 day to 27 weeks | 24, 27 weeks + 1 day to 28 weeks | 25, 28 weeks + 1 day to 29 weeks | 26, 29 weeks + 1 day to 30 weeks | 27, 30 weeks + 1 day to 31 weeks | 28, 31 weeks + 1 day to 32 weeks | 29, 32 weeks + 1 day to 33 weeks | 30, 33 weeks + 1 day to 34 weeks | 31, 34 weeks + 1 day to 25 weeks | 32, 35 weeks + 1 day to 36 weeks | 33, 36 weeks + 1 day to 37 weeks | 34, 37 weeks + 1 day to 38 weeks | 35, 38 weeks + 1 day to 39 weeks | 36, 39 weeks + 1 day to 40 weeks | 37, 40 weeks + 1 day to 41 weeks | 38, 41 weeks + 1 day to 42 weeks",,,,,,[ultrasound_no]>=2
ultrasound2_normal_bool,birth_history,,radio,2nd ultrasound within normal limits,"1, Yes | 2, No | 3, Not determined | 4, Unknown/Not documented",,,,,,[ultrasound_no]>=2
ultrasound2_spec,birth_history,,notes,2nd ultrasound significant for,,,,,,,([ultrasound2_normal_bool] ='2'  or  [ultrasound2_normal_bool] ='3') and [ultrasound_no]>=2
ultrasound3_weeks_gestation_drop,birth_history,,dropdown,3rd ultrasound performed at (weeks gestation),"39, Unknown | 1, 4 weeks + 1 day to 5 weeks | 2,  5 weeks + 1 day to 6 weeks | 3, 6 weeks + 1 day to 7 weeks | 4, 7 weeks + 1 day to 8 weeks | 5, 8 weeks + 1 day to 9 weeks | 6, 9 weeks + 1 day to 10 weeks | 7, 10 weeks + 1 day to 11 weeks | 8, 11 weeks + 1 day to 12 weeks | 9, 12 weeks + 1 day to 13 weeks | 10, 13 weeks + 1 day to 14 weeks | 11, 14 weeks + 1 day to 15 weeks | 12, 15 weeks + 1 day to 16 weeks | 13, 16 weeks + 1 day to 17 weeks | 14, 17 weeks + 1 day to 18 weeks | 15, 18 weeks + 1 day to 19 weeks | 16, 19 weeks + 1 day to 20 weeks | 17, 20 weeks + 1 day to 21 weeks | 18, 21 weeks + 1 day to 22 weeks | 19, 22 weeks + 1 day to 23 weeks | 20, 23 weeks + 1 day to 24 weeks | 21, 24 weeks + 1 day to 25 weeks | 22, 25 weeks + 1 day to 26 weeks | 23, 26 weeks + 1 day to 27 weeks | 24, 27 weeks + 1 day to 28 weeks | 25, 28 weeks + 1 day to 29 weeks | 26, 29 weeks + 1 day to 30 weeks | 27, 30 weeks + 1 day to 31 weeks | 28, 31 weeks + 1 day to 32 weeks | 29, 32 weeks + 1 day to 33 weeks | 30, 33 weeks + 1 day to 34 weeks | 31, 34 weeks + 1 day to 25 weeks | 32, 35 weeks + 1 day to 36 weeks | 33, 36 weeks + 1 day to 37 weeks | 34, 37 weeks + 1 day to 38 weeks | 35, 38 weeks + 1 day to 39 weeks | 36, 39 weeks + 1 day to 40 weeks | 37, 40 weeks + 1 day to 41 weeks | 38, 41 weeks + 1 day to 42 weeks",,,,,,[ultrasound_no]>=3
ultrasound3_normal_bool,birth_history,,radio,3rd ultrasound within normal limits,"1, Yes | 2, No | 3, Not determined | 4, Unknown/Not documented",,,,,,[ultrasound_no]>=3
ultrasound3_spec,birth_history,,notes,3rd ultrasound significant for,,,,,,,([ultrasound3_normal_bool] ='2'  or  [ultrasound3_normal_bool] ='3') and [ultrasound_no]>=3
ultrasound4_weeks_gestation_drop,birth_history,,dropdown,4th ultrasound performed at (weeks gestation),"39, Unknown | 1, 4 weeks + 1 day to 5 weeks | 2,  5 weeks + 1 day to 6 weeks | 3, 6 weeks + 1 day to 7 weeks | 4, 7 weeks + 1 day to 8 weeks | 5, 8 weeks + 1 day to 9 weeks | 6, 9 weeks + 1 day to 10 weeks | 7, 10 weeks + 1 day to 11 weeks | 8, 11 weeks + 1 day to 12 weeks | 9, 12 weeks + 1 day to 13 weeks | 10, 13 weeks + 1 day to 14 weeks | 11, 14 weeks + 1 day to 15 weeks | 12, 15 weeks + 1 day to 16 weeks | 13, 16 weeks + 1 day to 17 weeks | 14, 17 weeks + 1 day to 18 weeks | 15, 18 weeks + 1 day to 19 weeks | 16, 19 weeks + 1 day to 20 weeks | 17, 20 weeks + 1 day to 21 weeks | 18, 21 weeks + 1 day to 22 weeks | 19, 22 weeks + 1 day to 23 weeks | 20, 23 weeks + 1 day to 24 weeks | 21, 24 weeks + 1 day to 25 weeks | 22, 25 weeks + 1 day to 26 weeks | 23, 26 weeks + 1 day to 27 weeks | 24, 27 weeks + 1 day to 28 weeks | 25, 28 weeks + 1 day to 29 weeks | 26, 29 weeks + 1 day to 30 weeks | 27, 30 weeks + 1 day to 31 weeks | 28, 31 weeks + 1 day to 32 weeks | 29, 32 weeks + 1 day to 33 weeks | 30, 33 weeks + 1 day to 34 weeks | 31, 34 weeks + 1 day to 25 weeks | 32, 35 weeks + 1 day to 36 weeks | 33, 36 weeks + 1 day to 37 weeks | 34, 37 weeks + 1 day to 38 weeks | 35, 38 weeks + 1 day to 39 weeks | 36, 39 weeks + 1 day to 40 weeks | 37, 40 weeks + 1 day to 41 weeks | 38, 41 weeks + 1 day to 42 weeks",,,,,,[ultrasound_no]>=4
ultrasound4_normal_bool,birth_history,,radio,4th ultrasound within normal limits,"1, Yes | 2, No | 3, Not determined | 4, Unknown/Not documented",,,,,,[ultrasound_no]>=4
ultrasound4_spec,birth_history,,notes,4th ultrasound significant for,,,,,,,([ultrasound4_normal_bool] ='2'  or  [ultrasound4_normal_bool] ='3') and [ultrasound_no]>=4
ultrasound5_weeks_gestation_drop,birth_history,,dropdown,5th ultrasound performed at (weeks gestation),"39, Unknown | 1, 4 weeks + 1 day to 5 weeks | 2,  5 weeks + 1 day to 6 weeks | 3, 6 weeks + 1 day to 7 weeks | 4, 7 weeks + 1 day to 8 weeks | 5, 8 weeks + 1 day to 9 weeks | 6, 9 weeks + 1 day to 10 weeks | 7, 10 weeks + 1 day to 11 weeks | 8, 11 weeks + 1 day to 12 weeks | 9, 12 weeks + 1 day to 13 weeks | 10, 13 weeks + 1 day to 14 weeks | 11, 14 weeks + 1 day to 15 weeks | 12, 15 weeks + 1 day to 16 weeks | 13, 16 weeks + 1 day to 17 weeks | 14, 17 weeks + 1 day to 18 weeks | 15, 18 weeks + 1 day to 19 weeks | 16, 19 weeks + 1 day to 20 weeks | 17, 20 weeks + 1 day to 21 weeks | 18, 21 weeks + 1 day to 22 weeks | 19, 22 weeks + 1 day to 23 weeks | 20, 23 weeks + 1 day to 24 weeks | 21, 24 weeks + 1 day to 25 weeks | 22, 25 weeks + 1 day to 26 weeks | 23, 26 weeks + 1 day to 27 weeks | 24, 27 weeks + 1 day to 28 weeks | 25, 28 weeks + 1 day to 29 weeks | 26, 29 weeks + 1 day to 30 weeks | 27, 30 weeks + 1 day to 31 weeks | 28, 31 weeks + 1 day to 32 weeks | 29, 32 weeks + 1 day to 33 weeks | 30, 33 weeks + 1 day to 34 weeks | 31, 34 weeks + 1 day to 25 weeks | 32, 35 weeks + 1 day to 36 weeks | 33, 36 weeks + 1 day to 37 weeks | 34, 37 weeks + 1 day to 38 weeks | 35, 38 weeks + 1 day to 39 weeks | 36, 39 weeks + 1 day to 40 weeks | 37, 40 weeks + 1 day to 41 weeks | 38, 41 weeks + 1 day to 42 weeks",,,,,,[ultrasound_no]>=5
ultrasound5_normal_bool,birth_history,,radio,5th ultrasound within normal limits,"1, Yes | 2, No | 3, Not determined | 4, Unknown/Not documented",,,,,,[ultrasound_no]>=5
ultrasound5_spec,birth_history,,notes,5th ultrasound significant for,,,,,,,([ultrasound5_normal_bool] ='2'  or  [ultrasound5_normal_bool] ='3') and [ultrasound_no]>=5
